Story Topic,Published
Camping trip,True
Being stalked by an unknown person while home alone,True
Encountering a creepy hitchhiker during a night drive,True
Getting trapped in an abandoned building during urban exploration,True
Being followed by a mysterious figure while hiking in a remote forest,False
Finding a hidden room in an old house with disturbing secrets,False
Hearing strange noises in the attic or basement of a new home,False
Getting stranded in a deserted town with no signs of life,False
Discovering a disturbing message or symbol carved into a tree or wall,False
Having a frightening encounter with a ghost or spirit in a haunted location,False
Abandoned asylum,False
Haunted doll,False
Ghostly apparitions in a mirror,False
Disappearing children in a forest,False
Creepy carnival at midnight,False
Ouija board gone wrong,False
Mysterious fog that traps people,False
Sinister presence in an old mansion,False
Shadowy figure in the attic,False
Supernatural occurrences in a remote cabin,False
Eerie whispers in an abandoned church,False
Haunted hotel with a dark history,False
Creepy clowns lurking in the neighborhood,False
Unexplained disappearances in a small town,False
Vengeful spirits in a haunted cemetery,False
Cursed object that brings misfortune,False
Ghostly encounters on a deserted island,False
Ancient cursed forest with malevolent creatures,False
Possessed house with a violent past,False
Creepy encounters in an abandoned amusement park,False
Haunted Drive-Thru Window at Midnight,False
Abandoned Grocery Store Encounter,False
Mysterious Employee in the Closed Restaurant,False
Terrifying Office Building Experience,False
Ghostly Coworker in the Empty Warehouse,False
Eerie Night Shift at the Pizza Joint,False
Haunted Break Room in the Factory,False
Creepy Manager at the Late-Night Convenience Store,False
Ghostly Customer in the Abandoned Mall,False
Spooky Deliveries at the Haunted Pizza Parlor,False
Unexplained Phenomenon in the Empty Office Tower,False
Ghostly Employee in the Old Fast Food Restaurant,False
Chilling Encounter in the Abandoned Warehouse,False
Terrifying Night at the Haunted Supermarket,False
